Year,Size (GB)
1950,0.08
1951,0.14
1952,0.13
1953,0.2
1954,0.16
1955,0.29
1956,0.12
1957,0.15
1958,0.32
1959,0.46
1960,0.67
1961,0.56
1962,1.19
1963,0.42
1964,0.68
1965,0.8
1966,0.58
1967,0.52
1968,0.41
1969,0.5
1970,0.47
1971,0.55
1972,0.45
1973,0.79
1974,0.76
1975,0.66
1976,0.61
1977,0.35
1978,0.45
1979,0.55
1980,0.53
1981,0.42
1982,0.27
1983,0.32
1984,0.44
1985,0.52
1986,0.36
1987,0.32
1988,0.49
1989,0.37
1990,0.45
1991,0.49
1992,0.48
1993,0.56
1994,0.66
1995,1.34
1996,2.57
1997,1.41
1998,0.74
1999,0.77
2000,0.63
2001,0.7
2002,0.78
2003,0.86
2004,0.82
2005,0.67
2006,1.0
2007,1.19
2008,1.66
2009,0.72
2010,1.13
2011,1.02
2012,0.83
2013,1.03
2014,0.91
2015,0.84
2016,0.69
2017,0.91
2018,0.97
2019,1.07
2020,1.62
2021,1.88
2022,2.22
2023,2.0
2024,1.7
2025,0.13
TOTAL,55.51
